Name,latitude,longitude
Strogino (Arbatsko–Pokrovskaya line),55.8038,37.4031
Studencheskaya (Moscow Metro),55.7388,37.5483
Sukharevskaya (Moscow Metro),55.7733,37.6319
Suvorovskaya (Moscow Metro),55.7802,37.6204
Sviblovo (Moscow Metro),55.8552,37.6527
Taganskaya (Koltsevaya line),55.7418,37.6517
Taganskaya (Tagansko–Krasnopresnenskaya line),55.7402,37.6522
Teatralnaya (Moscow Metro),55.7578,37.619
Tekhnopark (Zamoskvoretskaya line),55.6933,37.6645
Tekstilshchiki (Tagansko–Krasnopresnenskaya line),55.7088,37.7316
Timiryazevskaya (Serpukhovsko–Timiryazevskaya line),55.8176,37.5765
Tretyakovskaya (Moscow Metro),55.7412,37.6274
Troparyovo,55.6459,37.4725
Trubnaya (Moscow Metro),55.7688,37.62
TsSKA (Moscow Metro),55.7866,37.5333
Tsaritsyno (Moscow Metro),55.6214,37.6694
Tsvetnoy Bulvar,55.7708,37.6187
Tulskaya (Moscow Metro),55.7087,37.6229
Turgenevskaya,55.7661,37.6374
Tushinskaya (Moscow Metro),55.8267,37.4368
Tverskaya (Moscow Metro),55.7647,37.6065
Tyoply Stan (Moscow Metro),55.6191,37.5082
Ugreshskaya (Moscow Central Circle),55.7185,37.6976
Ulitsa 1905 Goda,55.765,37.5613
Ulitsa Akademika Yangelya,55.5949,37.6004
Ulitsa Dmitriyevskogo,55.71,37.879166
Ulitsa Gorchakova,55.5418,37.5308
Ulitsa Skobelevskaya,55.5481,37.5546
Ulitsa Starokachalovskaya,55.569,37.5767
Universitet (Moscow Metro),55.6926,37.5333
VDNKh (Moscow Metro),55.8211,37.6411
Varshavskaya (Moscow Metro),55.6533,37.6194
Verkhniye Kotly (Moscow Central Circle),55.6902,37.6193
Verkhniye Likhobory,55.855833,37.561111
Vladykino (Moscow Central Circle),55.8474,37.5926
Vladykino (Serpukhovsko–Timiryazevskaya line),55.8473,37.5899
Vnukovo (Moscow Metro),55.65,37.26666667
Vodny Stadion (Moscow Metro),55.8398,37.4867
Volgogradsky Prospekt (Moscow Metro),55.7253,37.6869
Volokolamskaya (Moscow Metro),55.8354,37.3822
Volzhskaya (Moscow Metro),55.6909,37.753
Vorobyovy Gory (Moscow Metro),55.7103,37.5592
Voykovskaya (Moscow Metro),55.819,37.498
Vykhino (Moscow Metro),55.7156,37.8181
Vystavochnaya,55.7502,37.5408
Yakhromskaya,55.8775,37.545833
Yasenevo (Moscow Metro),55.6063,37.5333
Yugo-Vostochnaya (Moscow Metro),55.705,37.818055
Yugo-Zapadnaya (Moscow Metro),55.6637,37.4833
Yuzhnaya (Moscow Metro),55.6224,37.609
Yuzhny Port,55.7,37.707
ZIL (Moscow Central Circle),55.6978,37.6474
Zhulebino (Moscow Metro),55.6855,37.8563
Zorge (Moscow Central Circle),55.7878,37.5045
Zyablikovo (Moscow Metro),55.6124,37.7453
Khovrino,55.8791,37.4822
Belomorskaya,55.8658,37.4764
Tekhnopark (Moscow Metro),55.695,37.6641
Rasskazovka,55.6339,37.3347
Novoperedelkino,55.6396,37.3552
Borovskoye Shosse,55.6476,37.3701
Solntsevo,55.6493,37.3909
Govorovo,55.6595,37.4172
Ozyornaya,55.6709,37.4491
Michurinsky Prospekt,55.6896,37.4833
Okruzhnaya,55.846,37.57425
Fonvizinskaya,55.8228,37.5881
Butyrskaya,55.8133,37.6028
Delovoy Tsentr,55.7475,37.5319
Shelepikha,55.7567,37.526
Khoroshyovskaya,55.7768,37.5207
Petrovsky park,55.7918,37.5571
Savyolovskaya,55.7936,37.588
Timiryazevskaya,55.819,37.5789
Ulitsa Milashenkova,55.8218,37.5911
Teletsentr,55.8218,37.6089
Ulitsa Akademika Korolyova,55.8218,37.6269
Vystavochny Tsentr,55.824,37.6383
Ulitsa Sergeya Eisensteina,55.8292,37.6449
Okruzhnaya,55.8472,37.5694
Vladykino,55.8476,37.593
Botanichesky Sad,55.846,37.6413
Rostokino,55.84,37.6653
Belokamennaya,55.83,37.7006
Bulvar Rokossovskogo (Moscow Central Circle),55.8172,37.7369
Lokomotiv,55.8039,37.746
Izmaylovo,55.7886,37.7428
Shosse Entuziastov,55.759,37.7463
Andronovka,55.7411,37.7344
Nizhegorodskaya,55.7322,37.7282
Novokhokhlovskaya,55.7239,37.7161
Ugreshskaya,55.7183,37.6978
Avtozavodskaya (Moscow Central Circle),55.7063,37.6631
Verkhnie Kotly,55.69,37.6189
Krymskaya,55.69,37.605
Ploshchad Gagarina,55.7069,37.5858
Luzhniki,55.7203,37.5631
Kutuzovskaya,55.7408,37.5333
Delovoy Tsentr,55.7472,37.5322
Shelepikha,55.7575,37.5256
Khoroshyovo,55.7772,37.5072
Streshnevo,55.8136,37.4869
Baltiyskaya,55.8258,37.4961
Likhobory,55.8472,37.5513
Kosino,55.7033,37.8511
Ulitsa Dmitriyevskogo,55.71,37.8792
Nekrasovka,55.7036,37.9264
Stakhanovskaya,55.725,37.7619
Okskaya,55.7186,37.7817
Filatov Lug,55.601367,37.407645
Prokshino,55.586242,37.433802
Olkhovaya,55.568643,37.459332
Kommunarka,55.560396,37.46822
Mnyovniki,55.7585,37.4708
Narodnoye Opolcheniye,55.7738,37.4844
Elektrozavodskaya,55.780292,37.703013
Lefortovo,55.764738,37.706747
Aviamotornaya,55.75367,37.719149
Nizhegorodskaya,55.731748,37.730076
Yugo-Vostochnaya,55.70497,37.81901
ZIL (Moscow Central Circle),55.6983,37.6483
